N method timer time nSamples
40 direct 2bDistances 0.04246103376540246 6249
83 direct 2bDistances 0.18805017421602785 1435
174 direct 2bDistances 0.8316808510638297 329
363 direct 2bDistances 4.097933333333333 75
758 direct 2bDistances 16.48670588235294 17
1582 direct 2bDistances 79.81733333333334 3
3301 direct 2bDistances 400.719 1
6889 direct 2bDistances 1407.38 1
14377 direct 2bDistances 5688.5599999999995 1
30000 direct 2bDistances 24674.0 1
40 acc 2bDistances 0.024999839974395904 6249
83 acc 2bDistances 0.049301672473867596 1435
174 acc 2bDistances 0.10960455927051671 329
363 acc 2bDistances 0.22197466666666665 75
758 acc 2bDistances 0.5104123529411765 17
1582 acc 2bDistances 1.413106666666667 3
3301 acc 2bDistances 3.07703 1
6889 acc 2bDistances 8.421899999999999 1
14377 acc 2bDistances 24.565 1
30000 acc 2bDistances 70.5428 1
