N method timer time nSamples
40 direct 2bDistances 0.04901216194591135 6249
83 direct 2bDistances 0.22394076655052267 1435
174 direct 2bDistances 0.9268996960486323 329
363 direct 2bDistances 4.53228 75
758 direct 2bDistances 18.99905882352941 17
1582 direct 2bDistances 75.656 3
3301 direct 2bDistances 626.4269999999999 1
6889 direct 2bDistances 1430.9 1
14377 direct 2bDistances 6300.54 1
30000 direct 2bDistances 25162.9 1
40 acc_index 2bDistances 0.02800768122899664 6249
83 acc_index 2bDistances 0.05418445993031358 1435
174 acc_index 2bDistances 0.12175866261398176 329
363 acc_index 2bDistances 0.238292 75
758 acc_index 2bDistances 0.5093323529411765 17
1582 acc_index 2bDistances 1.1990066666666666 3
3301 acc_index 2bDistances 2.8228799999999996 1
6889 acc_index 2bDistances 6.21009 1
14377 acc_index 2bDistances 15.945899999999998 1
30000 acc_index 2bDistances 50.1909 1
40 acc_copy 2bDistances 0.02896783485357657 6249
83 acc_copy 2bDistances 0.05564425087108014 1435
174 acc_copy 2bDistances 0.12447902735562309 329
363 acc_copy 2bDistances 0.23967999999999998 75
758 acc_copy 2bDistances 0.6592117647058824 17
1582 acc_copy 2bDistances 1.2199866666666668 3
3301 acc_copy 2bDistances 2.81405 1
6889 acc_copy 2bDistances 6.81996 1
14377 acc_copy 2bDistances 18.034000000000002 1
30000 acc_copy 2bDistances 51.047799999999995 1
